idOsoba,jmeno,prijmeni,Ulice,Mesto,datumNarozeni,telefon,email
1,Anna,Nováková,Hlavní 123,Praha,1990-05-15,123456789,anna@email.com
2,Pavel,Svoboda,Námìstí 456,Brno,1985-08-20,987654321,pavel@email.com
3,Martina,Kuèerová,Lesní 789,Ostrava,1992-03-10,555123456,martina@email.com
4,Jakub,Veselý,Polní 234,Plzeò,1980-09-05,789555123,jakub@email.com
5,Eva,Procházková,Údolní 567,Liberec,1995-01-22,456789555,eva@email.com
6,Tomáš,Novotný,Horská 890,Olomouc,1987-06-18,654321789,tomas@email.com
7,Lucie,Marešová,Pole 111,Èeské Budìjovice,1993-11-30,789123654,lucie@email.com
8,Marek,Hájek,Lánová 222,Hradec Králové,1983-04-25,321456987,marek@email.com
9,Veronika,Nová,Stránì 333,Zlín,1998-08-08,159753456,veronika@email.com
10,Jiøí,Kováø,Øíèní 444,Ústí nad Labem,1989-02-12,753159852,jiri@email.com
11,Petra,Doležalová,Luková 555,Pardubice,1991-07-28,852963147,petra@email.com
12,Lukáš,Holub,Kopcová 666,Kladno,1982-12-03,369147258,lukas@email.com
13,Jana,Havlíèková,Kvìtinová 777,Havíøov,1994-05-19,147258369,jana@email.com
14,Ondøej,Køíž,Školní 888,Jihlava,1986-10-14,258369147,ondrej@email.com
15,Simona,Pospíšilová,Travnatá 999,Teplice,1997-03-08,963852741,simona@email.com
16,Adam,Ševèík,Hájová 101,Most,1984-09-24,741852963,adam@email.com
17,Karolína,Matìjková,Louèná 202,Karlovy Vary,1996-01-10,852741963,karolina@email.com
18,Petr,Richter,Panská 303,Prostìjov,1981-06-05,369852147,petr@email.com
19,Marie,Burešová,Jezerní 404,Èeská Lípa,1999-11-15,147852369,marie@email.com
20,Filip,Kadlec,Sady 505,Mladá Boleslav,1988-04-20,852369147,filip@email.com
21,Jana,Nováková,Hlavní 123,Praha,1990-05-15,123456789,anna@email.com
